time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
0.406500,[Sector: 0 elevation: 0.000000],4,27,3579,351
0.406500,[Sector: 0 elevation: 0.000000],3,25,4169,416
0.406500,[Sector: 0 elevation: 0.000000],2,27,3579,351
0.406500,[Sector: 0 elevation: 0.000000],1,27,3579,351
0.407000,[Sector: 0 elevation: 0.000000],9,15,5150,975
0.407000,[Sector: 0 elevation: 0.000000],8,21,2455,325
0.407000,[Sector: 0 elevation: 0.000000],7,17,4110,676
0.407000,[Sector: 0 elevation: 0.000000],6,17,4110,676
0.407000,[Sector: 0 elevation: 0.000000],5,27,10,13
0.407000,[Sector: 0 elevation: 0.000000],4,27,10,13
0.407000,[Sector: 0 elevation: 0.000000],3,25,248,39
0.407000,[Sector: 0 elevation: 0.000000],2,27,10,13
0.407000,[Sector: 0 elevation: 0.000000],1,27,10,13
0.417000,[Sector: 0 elevation: 0.000000],9,17,552,91
0.417000,[Sector: 0 elevation: 0.000000],7,17,552,91
0.417000,[Sector: 0 elevation: 0.000000],6,17,552,91
0.417000,[Sector: 0 elevation: 0.000000],5,27,428,52
0.417000,[Sector: 0 elevation: 0.000000],4,27,428,52
0.417000,[Sector: 0 elevation: 0.000000],3,27,192,26
0.417000,[Sector: 0 elevation: 0.000000],2,27,428,52
0.417000,[Sector: 0 elevation: 0.000000],1,27,428,52
0.600500,[Sector: 0 elevation: 0.000000],9,23,12224,377
0.600500,[Sector: 0 elevation: 0.000000],8,23,12224,390
0.600500,[Sector: 0 elevation: 0.000000],7,23,12224,377
0.600500,[Sector: 0 elevation: 0.000000],6,23,12224,377
0.600500,[Sector: 0 elevation: 0.000000],5,27,12224,377
0.600500,[Sector: 0 elevation: 0.000000],4,27,12224,390
0.600500,[Sector: 0 elevation: 0.000000],3,27,12224,390
0.600500,[Sector: 0 elevation: 0.000000],2,27,12224,390
0.600500,[Sector: 0 elevation: 0.000000],1,27,12224,390
0.601500,[Sector: 0 elevation: 0.000000],9,23,9045,390
0.601500,[Sector: 0 elevation: 0.000000],8,23,8935,390
0.601500,[Sector: 0 elevation: 0.000000],7,23,9045,390
0.601500,[Sector: 0 elevation: 0.000000],6,23,9045,390
0.601500,[Sector: 0 elevation: 0.000000],5,27,8382,390
0.601500,[Sector: 0 elevation: 0.000000],4,27,8249,377
0.601500,[Sector: 0 elevation: 0.000000],3,27,8249,377
0.601500,[Sector: 0 elevation: 0.000000],2,27,8249,377
0.601500,[Sector: 0 elevation: 0.000000],1,27,8249,377
0.602000,[Sector: 0 elevation: 0.000000],9,23,5756,377
0.602000,[Sector: 0 elevation: 0.000000],8,23,5646,377
0.602000,[Sector: 0 elevation: 0.000000],7,23,5756,377
0.602000,[Sector: 0 elevation: 0.000000],6,23,5756,377
0.602000,[Sector: 0 elevation: 0.000000],5,27,4407,390
