metrica,valor
quantidade_fluxos,3
tx_packets_total,1800
rx_packets_total,1214
perdas_total,586
throughput_medio_mbps,16.3377
atraso_medio_ms,103.207
jitter_medio_ms,0.595228
pdr_medio,0.674444
jain_throughput,0.905078
