time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
1.813,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
1.8225,[Sector: 0 elevation: 0.000000],549.8964432,1,dynamic_continuous_30s,bw100,100,rr
1.823,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
2.0005,[Sector: 0 elevation: 0.000000],5326.4393676,1,dynamic_continuous_30s,bw100,100,rr
2.0015,[Sector: 0 elevation: 0.000000],5332.29021,1,dynamic_continuous_30s,bw100,100,rr
2.002,[Sector: 0 elevation: 0.000000],5338.9637028,1,dynamic_continuous_30s,bw100,100,rr
2.0025,[Sector: 0 elevation: 0.000000],2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr
2.003,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
2.013,[Sector: 0 elevation: 0.000000],4172.4557784,1,dynamic_continuous_30s,bw100,100,rr
2.023,[Sector: 0 elevation: 0.000000],736.4129292000001,1,dynamic_continuous_30s,bw100,100,rr
2.2005,[Sector: 0 elevation: 0.000000],5482.3992444,1,dynamic_continuous_30s,bw100,100,rr
2.2015,[Sector: 0 elevation: 0.000000],5477.690883599999,1,dynamic_continuous_30s,bw100,100,rr
2.202,[Sector: 0 elevation: 0.000000],5484.1475754,1,dynamic_continuous_30s,bw100,100,rr
2.2025,[Sector: 0 elevation: 0.000000],1910.8509966,1,dynamic_continuous_30s,bw100,100,rr
2.2145,[Sector: 0 elevation: 0.000000],3564.5600951999995,1,dynamic_continuous_30s,bw100,100,rr
2.2245,[Sector: 0 elevation: 0.000000],441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr
2.4005,[Sector: 0 elevation: 0.000000],4891.9701636,1,dynamic_continuous_30s,bw100,100,rr
2.4015,[Sector: 0 elevation: 0.000000],4910.3453412,1,dynamic_continuous_30s,bw100,100,rr
2.402,[Sector: 0 elevation: 0.000000],4906.4524704,1,dynamic_continuous_30s,bw100,100,rr
2.4025,[Sector: 0 elevation: 0.000000],2884.8038309999997,1,dynamic_continuous_30s,bw100,100,rr
2.403,[Sector: 0 elevation: 0.000000],17.1865512,1,dynamic_continuous_30s,bw100,100,rr
2.4125,[Sector: 0 elevation: 0.000000],3155.5381571999997,1,dynamic_continuous_30s,bw100,100,rr
2.413,[Sector: 0 elevation: 0.000000],1193.2162164,1,dynamic_continuous_30s,bw100,100,rr
2.4225,[Sector: 0 elevation: 0.000000],552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr
