time_s,beam_id,rnti,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
0.4045,[Sector: 0 elevation: 0.000000],5,27.973296,1,dynamic_continuous_30s,bw100,100,rr
0.4045,[Sector: 0 elevation: 0.000000],4,27.040852799999996,1,dynamic_continuous_30s,bw100,100,rr
0.4045,[Sector: 0 elevation: 0.000000],3,27.973296,1,dynamic_continuous_30s,bw100,100,rr
0.4045,[Sector: 0 elevation: 0.000000],2,27.040852799999996,1,dynamic_continuous_30s,bw100,100,rr
0.4045,[Sector: 0 elevation: 0.000000],1,27.040852799999996,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],9,277.59558059999995,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],8,465.700482,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],7,314.995941,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],6,314.995941,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],5,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],3,610.447968,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],9,287.167842,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],8,465.700482,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],7,325.85787,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],6,325.85787,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],4,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],3,590.0997024,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],2,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],1,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],9,296.74010339999995,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],8,481.2238314,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],7,347.58172800000006,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],6,347.58172800000006,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],5,596.6081082,1,dynamic_continuous_30s,bw100,100,rr
